Overall Experience-Value,Overall Comment,FeedbackCategory,Subcategory
5,"The customer rep I chatted with helped me by providing useful information. She was friendly, knowledgeable and demonstrated good follow through. When we couldn't find a solution she helped me know the next steps to take.",Thanks/Praise,Thanks/Praise
4,"My old school account got mixed up with my current school account. Everything is correct except for my name. I am Mary Harris, but am being addressed as Katrina Reis. I just need the name to be switched for mailing purposes and when I receive emails from scholastic. I asked to have this problem resolved last year. I'm asking again as it hasn't been. It would be nice if I weren't asked to let my staff know that there will continue to be a different name on my packages instead of just apologizing for the mix up. It seems like a year is more than enough time to resolve things on your end.",Customer Service,CS Experience
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Everything was handled quickly and the issue was resolved.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
1,My CHAT with TAMARA was not helpful at all and she basically hung up on me without addressing any of my issues.  I complained to the email person and was helped by RAIFEN.  This 2nd person took care of the problem and was very helpful.  My dissatisfaction is with the CHAT person.,Customer Service,CS Experience
1,I wanted to ask if I can use bonus points to buy leveled readers for my classroom.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
5,The customer representative was very helpful.,Thanks/Praise,Thanks/Praise
5,No Comment,No Comment,No Comment
5,Shipping and handling free for teachers? Please!!!!,Shipping/Delivery,Shipping Fee
5,No Comment,No Comment,No Comment
2,"I was very hopeful that scholastic was back on track this school year, but my order was missing lots of books.",Shipping/Delivery,Item Missing
4,"Christin was FABULOUS!!!  She helped me solve the problem and I really appreciate her patience in walking me through fixing my parent letter.  She was the second person I had chatted with yesterday.  The first person was not helping solve my problem.  I could not see my class code on my parent letter, and the first person I talked to (I do not know who it was) just kept telling me the code was there.  It was not there.  I was so frustrated I had exhausted ideas of how to fix it and I needed help.  I was so thankful to finally get Christin!  Thank you so much!!!!",Customer Service,CS Experience
1,I received a survey about my customer service experience before a customer service representative reached out to me to discuss my concerns,Customer Service,No Response from CS
5,Very helpful and great service.,Thanks/Praise,Thanks/Praise
5,She was very helpful and solved my problem in a timely manner.,Thanks/Praise,Thanks/Praise
5,We appreciated the quick response with the chat line.,Thanks/Praise,Thanks/Praise
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,Was quick and to the point!  Love it,Thanks/Praise,Thanks/Praise
5,I did not get to speak to the representative about the missing book from my order.  Emma ordered  Double Fudge for the promotional choice and it was not included in the box.,Customer Service,CS Experience
5,I did not get to speak to the representative about the missing book from my order.  Emma ordered  Double Fudge for the promotional choice and it was not included in the box.,Shipping/Delivery,Item Missing
5,No Comment,No Comment,No Comment
4,It would be nice if the administrative assistants had access to a listing of accounts associated with our school. When someone retires or leave our district we could notify you. Seems like a lot of money being wasted.,All Other,All Other
5,No Comment,No Comment,No Comment
2,"I placed an order on October 1st or 2nd and then got a code for bonus points on Oct 5th.  She did add the points into my account but the problem is that I had to take my personal time to get that done.  My question was why arent those codes sent on the first of the month in order to allow all orders entered (whether the 1st or 31st) to have the code to use.  Yes, I got my points but it was a hassle to have to contact you in order to do it.",All Other,All Other
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
3,"I am being negative, but finding the correct customer service rep and finding things on your website are very confusing.",All Other,LOB Confusion
3,"I am being negative, but finding the correct customer service rep and finding things on your website are very confusing.",All Other,Performance/Navigation/General
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
5,I wish that Scholastic had a division for religious books for children especially Christmas and Easter.,All Other,Lacking Variety/Specific Product Not Offered
4,No Comment,No Comment,No Comment
5,No Comment,No Comment,No Comment
